candidate,state,standardized_office_18,standardized_status_18,redistricting_role,amount_18_in_state,amount_18_out_of_state,amount_18_unknown,amount_18_total,pct_18_in_state,pct_18_out_of_state,pct_18_unknown,standardized_office_14,standardized_status_14,amount_14_in_state,amount_14_out_of_state,amount_14_unknown,amount_14_total,pct_14_in_state,pct_14_out_of_state,pct_14_unknown,standardized_office_10,standardized_status,amount_10_in_state,amount_10_out_of_state,amount_10_unknown,amount_10_total,pct_10_in_state,pct_10_out_of_state,pct_10_unknown
"POPOVICH, MARY E",PA,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,Y,"$1,111",$10,$0,"$1,121",99%,1%,0%,,,,,,,,,,,,,,,,,,
"POPPE, JEANNE E",MN,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,Y,"$1,050",$0,$0,"$1,050",100%,0%,0%,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$7,100",$500,$0,"$7,600",93%,7%,0%,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$1,275",$0,$0,"$1,275",100%,0%,0%
"PORTER IV, WILLIAM CLARKSON (CLARK)",NC,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,N,"$1,983",$0,$0,"$1,983",100%,0%,0%,,,,,,,,,,,,,,,,,,
"PORTER, ASHLEA SHEPHERD",KY,STATE HOUSE/ASSEMBLY/SENATE,DID NOT ADVANCE,Y,"$10,250",$0,$0,"$10,250",100%,0%,0%,,,,,,,,,,,,,,,,,,
"PORTER, CHESTER",AL,STATE HOUSE/ASSEMBLY/SENATE,DID NOT ADVANCE,Y,"$8,525",$250,$0,"$8,775",97%,3%,0%,,,,,,,,,,,,,,,,,,
"PORTER, GREGORY W",IN,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,Y,"$23,495","$4,650",$0,"$28,145",83%,17%,0%,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$18,405","$7,350",$0,"$25,755",71%,29%,0%,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$13,650","$2,300",$0,"$15,950",86%,14%,0%
"PORTER, JAKE & GENTRY, LYNNE",IA,GOVERNOR/LIEUTENANT GOVERNOR,ADVANCED TO GENERAL,Y,"$11,659","$1,220",$0,"$12,879",91%,9%,0%,,,,,,,,,,,,,,,,,,
"PORTER, JENNIE ELAINE",PA,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,Y,"$1,050",$0,$0,"$1,050",100%,0%,0%,,,,,,,,,,,,,,,,,,
"PORTER, JONATHAN",MD,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,Y,"$6,496",$200,$0,"$6,696",97%,3%,0%,,,,,,,,,,,,,,,,,,
"PORTER, ROBYN A",CT,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,N,"$5,384",$150,$0,"$5,534",97%,3%,0%,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$1,790",$50,$0,"$1,840",97%,3%,0%,,,,,,,,,
"POSSEL, PATRICIA (PATTI)",TN,STATE HOUSE/ASSEMBLY/SENATE,DID NOT ADVANCE,Y,"$4,302","$2,750","$6,000","$13,052",33%,21%,46%,,,,,,,,,,,,,,,,,,
"POST, BILL",OR,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,Y,"$15,418","$4,500","$2,600","$22,518",68%,20%,12%,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$113,993","$1,600",$101,"$115,694",99%,1%,0%,,,,,,,,,
"POSTLES JR, CHARLES S",DE,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,N,"$2,450",$300,$0,"$2,750",89%,11%,0%,STATE HOUSE/ASSEMBLY/SENATE,DID NOT ADVANCE,"$15,095","$1,400",$135,"$16,630",91%,8%,1%,,,,,,,,,
"POSTLEWAITE, RICHARD ALAN",WI,STATE HOUSE/ASSEMBLY/SENATE,DID NOT ADVANCE,Y,"$4,335",$300,$0,"$4,635",94%,6%,0%,,,,,,,,,,,,,,,,,,
"POSTON, JOAN",CO,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,Y,"$4,700",$0,$0,"$4,700",100%,0%,0%,,,,,,,,,,,,,,,,,,
"POSTON, JOHN M",MN,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,Y,"$1,500",$0,"$5,000","$6,500",23%,0%,77%,,,,,,,,,,,,,,,,,,
"POTCHYNOK-LUND, KAREN",MI,STATE HOUSE/ASSEMBLY/SENATE,DID NOT ADVANCE,Y,"$56,473","$1,000",$0,"$57,473",98%,2%,0%,,,,,,,,,,,,,,,,,,
"POTESTAD, BIBIANA BIBI",FL,STATE HOUSE/ASSEMBLY/SENATE,DID NOT ADVANCE,Y,"$53,511","$2,525",$0,"$56,036",95%,5%,0%,,,,,,,,,,,,,,,,,,
"POTTER JR, CHARLES",DE,STATE HOUSE/ASSEMBLY/SENATE,DID NOT ADVANCE,N,"$13,175","$1,900",$0,"$15,075",87%,13%,0%,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$25,030","$7,500",$0,"$32,530",77%,23%,0%,,,,,,,,,
"POTTER, JAE",UT,STATE HOUSE/ASSEMBLY/SENATE,DID NOT ADVANCE,Y,"$9,432",$450,$0,"$9,882",95%,5%,0%,,,,,,,,,,,,,,,,,,
"POTTS, JASON",TN,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,Y,"$41,919",$0,$0,"$41,919",100%,0%,0%,,,,,,,,,,,,,,,,,,
"POTTS, LARRY WAYNE",NC,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,N,"$32,856",$0,$0,"$32,856",100%,0%,0%,,,,,,,,,,,,,,,,,,
"POTTS, TONY",ID,STATE HOUSE/ASSEMBLY/SENATE,DID NOT ADVANCE,N,"$3,000",$0,$0,"$3,000",100%,0%,0%,,,,,,,,,,,,,,,,,,
"POTVIN, DENNIS",TN,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,Y,"$17,143","$1,500",$0,"$18,643",92%,8%,0%,,,,,,,,,,,,,,,,,,
"POULIOT, MATTHEW",ME,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,N,"$30,116","$3,025",$0,"$33,141",91%,9%,0%,,,,,,,,,,,,,,,,,,
"POULSON, DAVID C",OR,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,Y,"$5,610",$0,$0,"$5,610",100%,0%,0%,,,,,,,,,,,,,,,,,,
"POULSON, MARIE H",UT,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,Y,"$7,299",$500,$0,"$7,799",94%,6%,0%,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$20,426",$700,$0,"$21,126",97%,3%,0%,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$7,954","$1,000",$0,"$8,954",89%,11%,0%
"POWDRELL-CULBERT, JANE E",NM,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,Y,"$8,550","$14,550",$683,"$23,783",36%,61%,3%,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$6,750","$3,050",$0,"$9,800",69%,31%,0%,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$4,452","$3,200",$0,"$7,652",58%,42%,0%
"POWELL JR, ALFRED J (JAY)",GA,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,N,"$77,600","$27,750",$0,"$105,350",74%,26%,0%,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$13,977","$7,200",$0,"$21,177",66%,34%,0%,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$16,800","$1,000",$0,"$17,800",94%,6%,0%
"POWELL JR, BOBBY",FL,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,Y,"$117,065","$34,750","$15,750","$167,565",70%,21%,9%,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$49,450","$4,000",$0,"$53,450",93%,7%,0%,,,,,,,,,
"POWELL MARKLE, TRACY L",PA,STATE HOUSE/ASSEMBLY/SENATE,DID NOT ADVANCE,Y,"$8,200",$0,$0,"$8,200",100%,0%,0%,,,,,,,,,,,,,,,,,,
"POWELL SIMS, FREDDIE",GA,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,N,"$15,450","$3,750",$0,"$19,200",80%,20%,0%,,,,,,,,,,,,,,,,,,
"POWELL, ALAN",GA,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,N,"$70,800","$16,300",$0,"$87,100",81%,19%,0%,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$51,450","$8,500",$0,"$59,950",86%,14%,0%,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$30,550","$4,800",$0,"$35,350",86%,14%,0%
"POWELL, BEVERLY",TX,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,Y,"$384,421","$113,336",$0,"$497,757",77%,23%,0%,,,,,,,,,,,,,,,,,,
"POWELL, CHRIS",OK,GOVERNOR/LIEUTENANT GOVERNOR,ADVANCED TO GENERAL,Y,"$6,527","$2,600",$0,"$9,127",72%,28%,0%,,,,,,,,,,,,,,,,,,
"POWELL, ISAAC",OH,STATE HOUSE/ASSEMBLY/SENATE,DID NOT ADVANCE,Y,"$1,134",$0,$0,"$1,134",100%,0%,0%,,,,,,,,,,,,,,,,,,
"POWELL, JASON",TN,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,Y,"$43,261","$9,500","$1,000","$53,761",80%,18%,2%,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$88,862","$25,200",$0,"$114,062",78%,22%,0%,,,,,,,,,
"POWELL, JENA",OH,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,Y,"$128,053",$870,$0,"$128,923",99%,1%,0%,,,,,,,,,,,,,,,,,,
"POWELL, SCOTTIE",OH,STATE HOUSE/ASSEMBLY/SENATE,DID NOT ADVANCE,Y,"$7,608",$0,$0,"$7,608",100%,0%,0%,,,,,,,,,,,,,,,,,,
"POWER, KARIN",OR,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,Y,"$21,734","$1,250",$942,"$23,926",91%,5%,4%,,,,,,,,,,,,,,,,,,
"POWER, TERRANCE P (TERRY)",FL,STATE HOUSE/ASSEMBLY/SENATE,DID NOT ADVANCE,Y,"$73,846","$1,010",$0,"$74,856",99%,1%,0%,,,,,,,,,,,,,,,,,,
"POWERS NORRELL, MANDY",SC,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,Y,"$4,474","$1,500",$0,"$5,974",75%,25%,0%,,,,,,,,,,,,,,,,,,
"POWERS, DENNIS",TN,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,Y,"$41,850","$8,852",$0,"$50,702",83%,17%,0%,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$28,150","$8,200",$0,"$36,350",77%,23%,0%,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$11,945",$0,$0,"$11,945",100%,0%,0%
"POWNALL, WILLIAM (BILL)",WY,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,N,"$1,700",$0,$0,"$1,700",100%,0%,0%,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$5,604",$500,$125,"$6,229",90%,8%,2%,,,,,,,,,
"POYTHRESS, ROB",CA,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,N,"$513,071","$1,730",$0,"$514,801",100%,0%,0%,,,,,,,,,,,,,,,,,,
"PRANSKY, BRETT",OH,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,Y,"$4,975","$2,523",$0,"$7,498",66%,34%,0%,,,,,,,,,,,,,,,,,,
"PRATT, MICHAEL J",MI,STATE HOUSE/ASSEMBLY/SENATE,DID NOT ADVANCE,Y,"$4,468",$0,$11,"$4,479",100%,0%,0%,,,,,,,,,,,,,,,,,,
"PRATT, PHILLIP",KY,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,Y,"$26,747","$8,600",$0,"$35,347",76%,24%,0%,,,,,,,,,,,,,,,,,,
"PRATT, TOM",CA,STATE HOUSE/ASSEMBLY/SENATE,DID NOT ADVANCE,N,"$38,153",$350,$0,"$38,503",99%,1%,0%,,,,,,,,,,,,,,,,,,
"PRATT, TRACY B",FL,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,Y,"$60,128","$3,410",$300,"$63,838",94%,5%,0%,,,,,,,,,,,,,,,,,,
"PRATT, WILLIAM B",NM,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,Y,"$2,000",$0,$0,"$2,000",100%,0%,0%,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$3,425","$1,650",$0,"$5,075",67%,33%,0%,,,,,,,,,
"PREGITZER, MICAH KALAMA",HI,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,N,"$6,318",$0,$0,"$6,318",100%,0%,0%,,,,,,,,,,,,,,,,,,
"PRESCOTT, DWAYNE W",ME,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,N,"$5,575",$0,$0,"$5,575",100%,0%,0%,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$1,175",$275,$0,"$1,450",81%,19%,0%,,,,,,,,,
"PRESCOTT, JOHN (JD)",IN,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,Y,"$7,000",$500,$0,"$7,500",93%,7%,0%,,,,,,,,,,,,,,,,,,
"PRESNELL, MICHELE D",NC,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,N,"$13,050","$1,000",$0,"$14,050",93%,7%,0%,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$31,366","$3,700","$1,100","$36,166",87%,10%,3%,,,,,,,,,
"PRESSEL, JIM",IN,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,Y,"$28,550","$3,250",$0,"$31,800",90%,10%,0%,,,,,,,,,,,,,,,,,,
"PRESTON, JOE",SC,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,Y,"$4,633",$348,$0,"$4,981",93%,7%,0%,,,,,,,,,,,,,,,,,,
"PRESTON, RYAN",AL,STATE HOUSE/ASSEMBLY/SENATE,DID NOT ADVANCE,Y,"$9,955",$500,$0,"$10,455",95%,5%,0%,,,,,,,,,,,,,,,,,,
"PRESTON, WILLIE",IL,STATE HOUSE/ASSEMBLY/SENATE,DID NOT ADVANCE,Y,"$1,625",$0,$0,"$1,625",100%,0%,0%,,,,,,,,,,,,,,,,,,
"PRETLOW, JAMES GARY (GARY)",NY,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,N,"$35,050","$2,500","$6,250","$43,800",80%,6%,14%,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$55,125","$1,500","$2,250","$58,875",94%,3%,4%,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$62,825","$1,500","$5,000","$69,325",91%,2%,7%
"PRETLOW, LARRY II",MD,STATE HOUSE/ASSEMBLY/SENATE,DID NOT ADVANCE,Y,"$1,186",$100,$0,"$1,286",92%,8%,0%,,,,,,,,,,,,,,,,,,
"PRICE, BETTY",GA,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,N,"$85,620","$10,800",$0,"$96,420",89%,11%,0%,,,,,,,,,,,,,,,,,,
"PRICE, BRAD D",IA,STATE HOUSE/ASSEMBLY/SENATE,DID NOT ADVANCE,Y,"$5,300",$0,$0,"$5,300",100%,0%,0%,,,,,,,,,,,,,,,,,,
"PRICE, CATHERINE",FL,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,Y,"$34,253","$6,932",$500,"$41,685",82%,17%,1%,,,,,,,,,,,,,,,,,,
"PRICE, CONNIE",IA,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,Y,"$4,512",$850,$0,"$5,362",84%,16%,0%,,,,,,,,,,,,,,,,,,
"PRICE, FOUR",TX,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,Y,"$554,226","$90,287",$0,"$644,513",86%,14%,0%,,,,,,,,,,,,,,,,,,
"PRICE, JOSHUA",AR,STATE HOUSE/ASSEMBLY/SENATE,DID NOT ADVANCE,Y,"$6,625","$3,950",$0,"$10,575",63%,37%,0%,,,,,,,,,,,,,,,,,,
"PRICE, RANDALL (RANDY)",TN,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,Y,$320,"$1,000",$692,"$2,012",16%,50%,34%,,,,,,,,,,,,,,,,,,
"PRICE, RANDY",AL,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,Y,"$379,324","$6,015",-$111,"$385,228",98%,2%,0%,STATE HOUSE/ASSEMBLY/SENATE,DID NOT ADVANCE,"$159,682","$2,250",$0,"$161,932",99%,1%,0%,,,,,,,,,
"PRICHARD, TODD P",IA,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,Y,"$11,110","$2,423",$0,"$13,533",82%,18%,0%,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$1,845",$250,$0,"$2,095",88%,12%,0%,,,,,,,,,
"PRIEDE, KELLY",MI,STATE HOUSE/ASSEMBLY/SENATE,DID NOT ADVANCE,Y,"$13,743",$0,$0,"$13,743",100%,0%,0%,,,,,,,,,,,,,,,,,,
"PRIETO, DANA",OK,STATE HOUSE/ASSEMBLY/SENATE,DID NOT ADVANCE,Y,"$8,116",$225,$0,"$8,341",97%,3%,0%,,,,,,,,,,,,,,,,,,
"PRINCE, BRIAN L",GA,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,N,"$24,825","$5,550",$0,"$30,375",82%,18%,0%,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$1,200",$0,$0,"$1,200",100%,0%,0%,,,,,,,,,
"PRINCE, J BLAKE",GA,STATE HOUSE/ASSEMBLY/SENATE,DID NOT ADVANCE,N,"$16,518",$0,$0,"$16,518",100%,0%,0%,,,,,,,,,,,,,,,,,,
"PRINGLE, CHRIS",AL,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,Y,"$72,080","$13,350",$0,"$85,430",84%,16%,0%,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$163,583","$7,350",$0,"$170,933",96%,4%,0%,,,,,,,,,
"PRINZIVALLI, PINA",MA,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,N,"$18,185","$1,150",$0,"$19,335",94%,6%,0%,,,,,,,,,,,,,,,,,,
"PRITCHETT, SHARON",FL,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,Y,"$24,224","$1,040","$4,185","$29,449",82%,4%,14%,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$16,008","$5,000",$0,"$21,008",76%,24%,0%,,,,,,,,,
"PRITZKER, JAY ROBERT (J B) & STRATTON, JULIANA W",IL,GOVERNOR/LIEUTENANT GOVERNOR,ADVANCED TO GENERAL,Y,"$106,893,222",$500,$0,"$106,893,722",100%,0%,0%,,,,,,,,,,,,,,,,,,
"PROBST MILLS, HELEN BROCK",NC,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,N,"$148,313","$24,895",$0,"$173,208",86%,14%,0%,,,,,,,,,,,,,,,,,,
"PROBST, TARAH DOROTHEA",PA,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,Y,"$35,308","$1,225",$0,"$36,533",97%,3%,0%,,,,,,,,,,,,,,,,,,
"PROCTER, ZACH",GA,STATE HOUSE/ASSEMBLY/SENATE,DID NOT ADVANCE,N,"$11,363",$375,$0,"$11,738",97%,3%,0%,,,,,,,,,,,,,,,,,,
"PROCTOR, SUSIE",MD,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,Y,"$36,257","$4,900",$0,"$41,157",88%,12%,0%,,,,,,,,,,,,,,,,,,
"PROEHL, RICHARD J",KS,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,Y,"$2,300","$2,950",$0,"$5,250",44%,56%,0%,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$4,325","$4,200",$0,"$8,525",51%,49%,0%,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$4,525","$1,950",$0,"$6,475",70%,30%,0%
"PROFFITT, LARRY",TN,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,Y,"$5,700",$450,$0,"$6,150",93%,7%,0%,,,,,,,,,,,,,,,,,,
"PRONSCHINSKE, TREIG E",WI,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,Y,"$27,725","$2,000",$0,"$29,725",93%,7%,0%,,,,,,,,,,,,,,,,,,
"PROVENZANO, MELISSA",OK,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,Y,"$16,849","$1,980",$0,"$18,829",89%,11%,0%,,,,,,,,,,,,,,,,,,
"PROVINE, WESLEY",OK,STATE HOUSE/ASSEMBLY/SENATE,DID NOT ADVANCE,Y,"$2,062",$0,$0,"$2,062",100%,0%,0%,,,,,,,,,,,,,,,,,,
"PROVOST, DENISE",MA,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,N,"$10,795",$100,$675,"$11,570",93%,1%,6%,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$14,567","$1,000",$500,"$16,067",91%,6%,3%,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$4,200",$0,$0,"$4,200",100%,0%,0%
"PROZANSKI JR, FLOYD F",OR,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,Y,"$88,465","$18,000",$480,"$106,945",83%,17%,0%,,,,,,,,,,,,,,,,,,
"PRUETT JR, JIMMY H",GA,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,N,"$11,100","$2,500",$0,"$13,600",82%,18%,0%,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$89,476","$7,450",$0,"$96,926",92%,8%,0%,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$26,550","$1,600",$0,"$28,150",94%,6%,0%
"PRUITT, LANCE",AK,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,N,"$31,015",$250,$0,"$31,265",99%,1%,0%,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$39,350",$600,$0,"$39,950",98%,2%,0%,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$26,907",$150,$160,"$27,217",99%,1%,1%
"PRUITT, LUKE",AR,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,Y,"$13,918",$50,$0,"$13,968",100%,0%,0%,,,,,,,,,,,,,,,,,,
"PRUNEDA, MAT",TX,STATE HOUSE/ASSEMBLY/SENATE,DID NOT ADVANCE,Y,"$8,189",$225,$0,"$8,414",97%,3%,0%,,,,,,,,,,,,,,,,,,
"PRUNTY, MELINDA GIBBONS",KY,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,Y,"$71,892","$13,100",$0,"$84,992",85%,15%,0%,,,,,,,,,,,,,,,,,,
"PRUSAK, RACHEL",OR,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,Y,"$79,777","$4,776",$25,"$84,578",94%,6%,0%,,,,,,,,,,,,,,,,,,
"PRYOR, CHERRISH S",IN,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,Y,"$10,550","$3,250",$0,"$13,800",76%,24%,0%,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$10,477","$3,000",$0,"$13,477",78%,22%,0%,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$9,425",$850,$0,"$10,275",92%,8%,0%
"PRYOR, FRANK ALLEN",PA,STATE HOUSE/ASSEMBLY/SENATE,DID NOT ADVANCE,Y,"$6,375","$5,750",$350,"$12,475",51%,46%,3%,,,,,,,,,,,,,,,,,,
"PRYOR, LAURIE ELIZABETH",MN,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,Y,"$18,741","$1,575",$0,"$20,316",92%,8%,0%,,,,,,,,,,,,,,,,,,
"PUGH, CINDY",MN,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,Y,"$4,750","$2,500",$0,"$7,250",66%,34%,0%,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$10,088","$1,250",$0,"$11,338",89%,11%,0%,,,,,,,,,
"PUGLIESE, MATTHEW",CT,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,N,"$5,999",$350,$0,"$6,349",94%,6%,0%,,,,,,,,,,,,,,,,,,
"PULCHER, RICHARD",WI,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,Y,$929,$500,$0,"$1,429",65%,35%,0%,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$1,925",$300,$0,"$2,225",87%,13%,0%,,,,,,,,,
"PULLIN, KEN",GA,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,N,"$44,465",$700,$0,"$45,165",98%,2%,0%,,,,,,,,,,,,,,,,,,
"PULVER, JULIA",MI,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,Y,"$59,316","$5,625",$0,"$64,941",91%,9%,0%,,,,,,,,,,,,,,,,,,
"PUPPOLO JR, ANGELO J",MA,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,N,"$62,116","$2,150","$12,700","$76,966",81%,3%,17%,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$48,525","$2,200","$20,563","$71,288",68%,3%,29%,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$69,800","$4,625",$0,"$74,425",94%,6%,0%
"PURCELL, MIKE",TX,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,Y,"$5,093",$0,$0,"$5,093",100%,0%,0%,,,,,,,,,,,,,,,,,,
"PURINGTON, REBECCA",TN,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,Y,"$12,218","$1,744",$0,"$13,962",88%,12%,0%,,,,,,,,,,,,,,,,,,
"PUSKARIC, MICHAEL J",PA,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,Y,"$9,940",$570,$0,"$10,510",95%,5%,0%,,,,,,,,,,,,,,,,,,
"PUTNAM, ADAM H",FL,GOVERNOR/LIEUTENANT GOVERNOR,DID NOT ADVANCE,Y,"$9,083,094","$373,934","$32,288","$9,489,316",96%,4%,0%,,,,,,,,,,,,,,,,,,
